Price,Doors,Seats,Safety,Worth
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
High,Two,Two,Low,No
High,Two,Two,Medium,No
High,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Medium,Two,Two,Low,No
Medium,Two,Two,Medium,No
Medium,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
Low,Two,Two,Low,No
Low,Two,Two,Medium,No
Low,Two,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
High,Three,Two,Low,No
High,Three,Two,Medium,No
High,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Medium,Three,Two,Low,No
Medium,Three,Two,Medium,No
Medium,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
Low,Three,Two,Low,No
Low,Three,Two,Medium,No
Low,Three,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
High,Four,Two,Low,No
High,Four,Two,Medium,No
High,Four,Two,High,No
Medium,Four,Two,Low,No
Medium,Four,Two,Medium,No
Medium,Four,Two,High,No
Medium,Four,Two,Low,No
Medium,Four,Two,Medium,No
Medium,Four,Two,High,No
Medium,Four,Two,Low,No
Medium,Four,Two,Medium,No
Medium,Four,Two,High,No
Medium,Four,Two,Low,No
